full=12549 parties · H1=6275 · H2=6274

############ COMP_CLASH_RULES (n>=40) ############
edge%	obs%	att%	n	z	q(BH)	H1	H2	stable	règle
-1.15	49.03	50.18	1917	-1.01	0.5769	0.16	-1.56	false	(a, d) => hasMech(a, "zoneControl") && (d.tags?.has?.("dive") || hasMech(d, "d
-1.13	48.9	50.03	5370	-1.66	0.5447	-2.05	-0.07	true	(a, d) => (a.tags?.has?.("poke") || hasMech(a, "siegePoke")) && (d.tags?.has?.
-1.09	48.96	50.06	1734	-0.92	0.5993	-1.53	-0.78	true	(a, d) => norm(a.name) === norm("Trundle") && (d.tank || 0) >= 0.5
-0.99	48.95	49.94	2866	-1.06	0.5769	-1.84	0.38	false	(a, d) => hasMech(a, "disengage") && hasMech(d, "hardEngage")
-0.61	49.21	49.81	2776	-0.63	0.7175	3.58	-2.14	false	(a, d) => ["Juggernaut", "Diver"].includes(subOf(a)) && ["Vanguard", "Warden"]
-0.48	49.54	50.02	541	-0.22	0.8821	-1.55	0.55	false	(a, d) => hasMech(a, "spellShield") && (d.engage || 0) >= 0.5 && (d.spellSetup
-0.12	49.69	49.8	960	-0.07	0.9783	-1.2	1.69	false	(a, d) => subOf(a) === "Assassin" && ["Artillery", "Burst"].includes(subOf(d))
-0.08	49.69	49.77	161	-0.02	0.9838	-3.93	2.04	false	(a, d) => hasMech(a, "cleansePeel") && (d.spellSetup || 0) >= 0.5
0.31	50.16	49.85	3481	0.37	0.7996	-0.6	0.91	false	(a, d) => (a.burst || 0) >= 0.55 && d.isMarksman && !hasMech(d, "disengage")
0.39	50.66	50.27	3097	0.43	0.7971	1.7	-2.91	false	(a, d) => hasMech(a, "globalUlt") && hasMech(d, "immobileCarry")
0.42	50.49	50.07	5352	0.61	0.7175	0.73	0.21	true	(a, d) => hasMech(a, "tankShred") && (d.tank || 0) >= 0.5
0.7	50.8	50.1	7746	1.23	0.5447	-0.83	2.08	false	(a, d) => (a.peel || 0) >= 0.55 && (d.engage || 0) >= 0.5
1.1	50.95	49.85	738	0.6	0.7175	0.17	2.49	true	(a, d) => hasMech(a, "revealStealth") && hasMech(d, "stealth")
1.16	51.11	49.95	2880	1.25	0.5447	1.18	1.02	true	(a, d) => hasMech(a, "invadeEarly") && (d.early || 0) < 0.35
1.5	51.39	49.88	4610	2.05	0.3024	1.51	1.58	true	(a, d) => hasMech(a, "splitPush") && (d.tank || 0) >= 0.6 && (d.scaling || 0) 
1.88	51.77	49.89	396	0.75	0.7173	6.38	0.21	true	(a, d) => hasMech(a, "zoneControl") && d.isMarksman && !hasMech(d, "disengage"
2.14	52.43	50.29	206	0.61	0.7175	-6.24	8.36	false	(a, d) => subOf(a) === "Vanguard" && subOf(d) === "Assassin"
2.45	52.58	50.13	504	1.1	0.5769	4.2	1.47	true	(a, d) => (a.peel || 0) >= 0.55 && (d.burst || 0) >= 0.55 && d.isMarksman
2.64	52.66	50.03	3173	2.96	0.0915	2.72	2.6	true	(a, d) => hasMech(a, "percentHp") && (d.tank || 0) >= 0.55
6.12	55.88	49.76	102	1.24	0.5447	8.27	4.56	true	(a, d) => subOf(a) === "Marksman" && ["Vanguard", "Warden"].includes(subOf(d))
7.75	57.5	49.75	40	0.98	0.5769	0.56	8.54	null	(a, d) => hasMech(a, "pointCc") && hasMech(d, "diveAssassin")
8.36	58.57	50.21	70	1.4	0.5447	-2.93	12.67	false	(a, d) => norm(a.name) === norm("Caitlyn") && hasMech(d, "shortRangeAdc")
→ 16/30 règles au signe inversé (edge < 0)

############ CHAMP_PAIR_RULES toutes paires (n>=40) ############
edge%	obs%	att%	n	z	q(BH)	H1	H2	stable	règle
-13.35	35.71	49.06	42	-1.73	0.2853	-18.63	-10.89	true	(a, d) => norm(a.name) === norm("Ashe") && hasMech(d, "diveAssassin")
